"Type"	"PLOD2"	"TIMP1"	"HLA-DRA"	"FN1"	"ANXA1"	"HLA-DPB1"	"VIM"	"LGALS1"	"HMOX1"	"C1S"	"P4HA1"	"VEGFA"	"IGFBP3"	"CCND1"	"HPCAL1"	"LIPA"	"ARHGDIB"	"PFKP"	"GPNMB"	"PLIN2"	"RARRES2"	"MYOF"
"Normal"	10.1740226878925	12.713165518556	11.9178798096697	14.5099970713426	15.9627274104225	14.9355440918586	18.508454603701	17.5792021689082	13.6877522390393	13.3951728377229	11.9825169377112	11.2000572658517	12.791114846077	7.85756398800098	13.5665947639211	11.7834657159771	16.5944712884445	12.4614417671744	12.7891608633876	10.3344031146261	11.3882659509661	11.699562364102
"Normal"	8.96639956543977	12.7952628813212	12.022508517228	12.6346006443963	14.9708269205676	15.1974851803791	17.587687535833	17.4628894920004	12.9561939670012	11.3289226615702	11.8975847258114	10.7123176160577	11.9210425319413	6.68412058677421	13.9855889538824	11.4546531465838	15.9091674480163	11.2838837748141	12.4643448167639	10.5816127479264	12.0187625251924	10.9064422492576
"Normal"	8.92877825208888	12.474585083987	12.4109751406076	12.8130210001868	15.0377690642164	15.0211347398205	17.4767385417549	17.1127820056331	12.9696316651026	11.3039432474359	11.9285127024717	10.7695790744061	11.9777557563229	7.55284050984984	13.9335903333441	12.012148249074	15.7655749368646	11.9816914502794	13.3257115257594	10.524018572473	11.6493944097086	11.0424829172372
"Normal"	10.6932144241844	13.4423473721487	12.8393739495517	14.2899624958699	16.3747122888341	16.6335709966952	18.3802105610382	18.149552114891	14.3158930200295	12.2300170925097	12.5282116738374	11.6072869780515	12.2718477247307	6.70248488588705	14.438564592474	12.8481291228868	17.1543190306519	13.1961571979573	13.6188489328547	11.803397023256	11.8559486070123	13.6727760795436
"Normal"	9.88647466492193	10.7762426947182	10.9497612297139	14.0324976352404	15.2556095651054	14.9626790076188	17.6786742083513	17.0893009322813	11.9637412762001	13.4890766207134	11.8186963938983	9.5903663309559	12.6551968314133	6.9479103480098	13.3284731901067	11.9407008780854	15.5821622458779	11.9857610615833	13.7685934711298	10.3876622476272	10.1306064837233	12.1175736160372
"Normal"	8.40863650838033	11.8270213906388	11.3408486279595	16.4330888358002	16.4788830164047	12.5152462191262	18.983504384097	17.8340744116216	9.62856920100257	12.1220150751162	10.959865219967	8.56899636814915	11.9749400579737	8.14189516857175	11.7595898540249	10.1891497524869	14.7223911576828	13.2729035859094	12.7867220806801	9.40890811110099	9.74388830335786	12.9720181570496
"Normal"	11.424473893361	12.0531161770482	13.7140964775677	14.4487507606007	15.3753680020566	13.658929269638	17.2021229590493	17.0828368954868	9.02188973270516	13.1380447521986	12.9003947034012	10.4606407528863	12.1631968317964	7.80093957563996	12.6474006726993	12.2703959220758	15.6492453357776	13.0692716424976	12.3961694164317	10.721231170639	9.7145314122316	12.2336107914499
"Normal"	9.31008002561254	10.8555814385459	12.9853748909669	13.5592397302383	14.5771817999076	12.3821310653969	16.7035014518751	16.176771835812	11.8347842345592	11.517883799956	11.9817170995158	10.6204167399698	10.9553421637868	7.35613103544848	12.7872996323308	11.4178003537225	14.9918796495467	11.8273136897597	11.6975659431263	9.8301807279223	9.4082370123147	11.5611372476792
"Normal"	8.80638885410348	11.1341636226291	12.5840718393862	14.6581350261994	14.2343744164997	14.680265453447	16.4737605240974	16.2016001776418	11.975081240724	11.1596092865302	11.7401856791033	10.5385419789625	12.4073039178603	5.95576050289668	13.1325974577843	11.8072358721879	15.2260798525324	11.8561377835867	11.8563364492836	9.74229046677626	10.0735139029485	11.4837457376308
"Normal"	9.29220922275052	11.3503102092975	13.5895309452865	14.2364353164175	15.3217638226269	14.6224873898275	17.5426007696765	16.9851136677277	12.6701483850079	11.0901828740824	12.0499723600366	11.1130319023787	11.9173608209959	6.75736941524933	13.6569823949717	12.3755269219604	15.844785199425	12.2693639785159	12.8060282464936	10.5110822293789	10.8208115946671	12.6949799377189
